id,municipio,vereda,longitud,latitud,altitud,caudal_ver,vigencia,tipo_vert,sist_trata,descarga,clase_vert,actividad,fuente_rec,cuerpo_rec,tipo_desc,observacio,sist_med_c,coordenadas
1,Sogamoso,Zona Urbana,-72.93256111,5.718980556,1508,No Reportado,,Puntual,,1,Industrial,,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,Volumetrico,POINT (-72.93256111 5.718980556)
2,Sogamoso,Zona Urbana,-72.92929167,5.712727778,2515,No Reportado,,Puntual,,1,Industrial,,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,Volumetrico,POINT (-72.92929167 5.712727778)
3,Tunja,Zona Urbana,-73.35750556,5.545533333,2715,No Reportado,,Puntual,,1,Industrial,,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,,POINT (-73.35750556 5.545533333)
4,Santa Rosa De Viterbo,Zona Urbana,-72.98661667,5.869430556,2755,No Reportado,,Puntual,,1,Industrial,,Cuerpo De Agua,Cuerpo De Agua,Puntual,,,POINT (-72.98661667 5.869430556)
5,Aquitania,Susaca,-72.88534722,5.568816667,3111,No Reportado,,Puntual,,1,Industrial,,Laguna,Laguna,Puntual,,,POINT (-72.88534722 5.568816667)
6,Corrales,Reyes Patria,-72.83446944,5.809580556,2435,No Reportado,,Puntual,,1,Industrial,,Rio Chicamocha,Rio Chicamocha,Puntual,,,POINT (-72.83446944 5.809580556)
7,Sogamoso,Zona Urbana,-72.93669444,5.713438889,2498,No Reportado,,Puntual,,1,Industrial,,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,,POINT (-72.93669444 5.713438889)
8,Duitama,Centro,-73.032275,5.814872222,2526,No Reportado,,Puntual,,1,Industrial,,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,,POINT (-73.032275 5.814872222)
9,Tuta,Rio De Piedras,-73.25104722,5.691752778,1888,No Reportado,,Puntual,Normal,1,Industrial,,Suelo,Suelo,Puntual,,Volumetrico,POINT (-73.25104722 5.691752778)
10,Tunja,Chorro Blanco,-73.39280278,5.494875,3001,No Reportado,,Puntual,Normal,1,Industrial,,Reservorio,Reservorio,Puntual,,Volumetrico,POINT (-73.39280278 5.494875)
